id,Colonia,Delitos,latitude,longitude
1,1° DE MAYO,16,19.3386060033677,-99.3241604002904
2,10 DE ABRIL,16,19.44791102,-99.2062059
3,10 DE MAYO,46,19.4346258575549,-99.1183226243549
4,12 DE DICIEMBRE,15,19.3293460796346,-99.100262389063
5,15 DE AGOSTO,40,19.4829959118119,-99.1067040642477
6,16 DE SEPTIEMBRE,27,19.4014560264111,-99.2063350829803
7,19 DE MAYO,9,19.3621456842215,-99.2533357531375
8,1A AMPLIACIÓN PRESIDENTES,38,19.3791944050449,-99.2195065457566
9,1A VICTORIA,41,19.3869034207679,-99.1993169598138
10,1ER REACOMODO CORPUS CHRISTI,4,19.3573220021795,-99.2509648002359
11,1RA. AMPLIACIÓN SANTIAGO ACAHUALTEPEC,49,19.3535448953799,-99.0087061999403
12,2 DE OCTUBRE,21,19.2733854025163,-99.2299285998133
13,20 DE NOVIEMBRE,150,19.44604801,-99.10720643
14,24 DE ABRIL,12,19.41404137,-99.11625387
15,25 DE JULIO,45,19.49624524,-99.08283139
16,2A AMPLIACIÓN EL PIRU,22,19.3812375039723,-99.2392745000061
17,2A AMPLIACIÓN JALALPA TEPITO,50,19.3733248593984,-99.2369926486164
18,2A AMPLIACIÓN LA MEXICANA,4,19.3793393002204,-99.2315363998895
19,2A AMPLIACIÓN PRESIDENTES,32,19.376345528179,-99.2281017878101
20,2A SECCIÓN CAÑADA,10,19.38220235,-99.22639537
21,2A. AMPLIACION JALALPA EL GRANDE,26,19.3674731019403,-99.2455268003437
22,2A. AMPLIACIÓN SANTIAGO ACAHUALTEPEC,213,19.3503679210872,-99.0169918085633
23,2DA AMPLIACION BARRIO SAN MIGUEL (SAN FELIPE TERRE,30,19.3499109953676,-99.070920200059
24,2DA AMPLIACION PARAJE SAN JUAN,13,19.33892987,-99.06947663
25,2O REACOMODO CORPUS CHRISTI,3,19.3629302,-99.2486005
26,2O REACOMODO TLACUITLAPA,37,19.3525904491796,-99.235255233739
27,3 DE MAYO,1,19.2969562467048,-98.9965368024564
28,3 FUENTES,8,19.2977349019595,-99.1214389998238
29,4 ÁRBOLES,41,19.4138284626633,-99.0849493099078
30,5 DE MAYO,32,19.4488321311122,-99.2003200434062
31,5O TRAMO 20 DE NOVIEMBRE,76,19.4500957837965,-99.1023570636962
32,6 DE JUNIO,9,19.5505023023031,-99.1245226002682
33,7 DE JULIO,77,19.4311517547778,-99.1148837149287
34,7 DE NOVIEMBRE,43,19.4616958830583,-99.1215872764533
35,8 DE AGOSTO,33,19.3942261968473,-99.1859466997089
36,A.M.S.A,55,19.2824159993021,-99.138992595943
37,AARÓN SÁENZ,4,19.4134864565784,-99.1239357071508
38,ABDIAS GARCIA SOTO,14,19.3530126998029,-99.2900401000709
39,ABRAHAM M. GONZÁLEZ,12,19.3867723459059,-99.2052957320588
40,ACACIAS,68,19.3669115,-99.1740764
41,ACASULCO,2,19.3418061203796,-99.181601521366
42,ACOCA,1,19.2463330678288,-99.1334518648225
43,ACTIPAN,65,19.3706277,-99.1791628
44,ACUEDUCTO,78,19.39937802,-99.19941706
45,ACUEDUCTO DE GUADALUPE,83,19.5279175,-99.156943
46,ACUEDUCTO XOCHIMILCO,3,19.2634697973428,-99.1259486003328
47,ACUILOTLA,4,19.3597539529597,-99.2441742563985
48,ACULCO,71,19.3767005982473,-99.1020570596584
49,ADOLFO LÓPEZ MATEOS,116,19.421375297111,-99.0733733999648
50,ADOLFO RUIZ CORTINES,135,19.3199312,-99.1490745
51,AERONÁUTICA MILITAR,79,19.4227097007472,-99.1151918000294
52,AEROPUERTO INTERNACIONAL BENITO JUÁREZ,168,19.4372505975909,-99.0803860002424
53,AGRICOLA / EX-HACIENDA DE GUADALUPE CHIMALISTAC,34,19.34788256,-99.18051826
54,AGRÍCOLA METROPOLITANA,42,19.2928939524845,-99.0520576268319
55,AGRÍCOLA ORIENTAL,914,19.3970002595661,-99.07100879593
56,AGRÍCOLA PANTITLAN,885,19.402874346063,-99.063500227162
57,AGRICULTURA,71,19.4468852836561,-99.166128620085
58,AGUA BENDITA,10,19.3565769878839,-99.3089784713742
59,AGUILERA,20,19.472736040468,-99.1553904234317
